epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.6706178188323975,0.8695014119148254,0.001,0.5975574851036072,1.0714213848114014
1,0.7674090266227722,0.6335204839706421,0.001,0.668055534362793,1.1417027711868286
2,0.7818606495857239,0.594270646572113,0.001,0.6802682280540466,1.0288505554199219
3,0.7902657985687256,0.5760359168052673,0.001,0.6955459713935852,0.9335219264030457
4,0.7951149344444275,0.5613563060760498,0.001,0.6923850774765015,0.8956601023674011
5,0.7983596920967102,0.5514526963233948,0.001,0.6838122606277466,1.0549825429916382
6,0.8026580214500427,0.5424114465713501,0.001,0.6976532340049744,0.9498646259307861
7,0.8048731088638306,0.5352921485900879,0.001,0.6672892570495605,1.0514864921569824
8,0.8157566785812378,0.5037723183631897,0.0005,0.6972222328186035,0.9803289175033569
9,0.8192528486251831,0.49422475695610046,0.0005,0.6883141994476318,1.174628496170044
10,0.8217911720275879,0.4862513244152069,0.0005,0.7000957727432251,1.0483670234680176
11,0.8299688696861267,0.4645521342754364,0.00025,0.6762452125549316,1.3379486799240112
12,0.8324353694915771,0.4545522928237915,0.00025,0.6843869686126709,1.227888584136963
13,0.8355364203453064,0.4471716284751892,0.00025,0.6953065395355225,1.2028292417526245
14,0.8416547179222107,0.43031689524650574,0.000125,0.6874520778656006,1.2739001512527466
